Semstertyp;Semsterstart;Semesterende;Mastertyp;Studiengang;Bewerbungen;Annahmen gesamt
Wintersemester;2018;2019;Science;Betriebswirtschaft (Business Administration);1394;240
Wintersemester;2018;2019;Science;Wirtschaftsingenieurwesen;400;83
Wintersemester;2018;2019;Arts;Erziehungs- und Bildungswissenschaft;242;95
Wintersemester;2018;2019;Arts;Higher Education;24;14
Wintersemester;2018;2019;Arts;Mehrsprachigkeit und Bildung;62;24
Wintersemester;2018;2019;Arts;Religionen, Dialog und Bildung;39;17
Wintersemester;2018;2019;Arts;Afrikanische Sprachen und Kulturen;3;2
Wintersemester;2018;2019;Arts;Allgemeine Sprachwissenschaft;43;6
Wintersemester;2018;2019;Arts;Archäologie und Kulturgeschichte des Antiken Mittelmeerraums;10;4
Wintersemester;2018;2019;Arts;British and American Cultures: Texts and Media;58;22
Wintersemester;2018;2019;Arts;Buddhist Studies;2;2
Wintersemester;2018;2019;Arts;Deutschsprachige Literaturen;76;25
Wintersemester;2018;2019;Arts;English as a World Language;30;6
Wintersemester;2018;2019;Arts;Ethnologie;35;15
Wintersemester;2018;2019;Arts;Gebärdensprachen;1;0
Wintersemester;2018;2019;Arts;Germanistische Linguistik;51;9
Wintersemester;2018;2019;Arts;Geschichte;51;29
Wintersemester;2018;2019;Arts;Geschichte, SuK des Vorderen Orients;19;6
Wintersemester;2018;2019;Arts;Historische Musikwissenschaft;8;6
Wintersemester;2018;2019;Arts;Indology and Tibetology;10;7
Wintersemester;2018;2019;Arts;Japanologie;9;3
Wintersemester;2018;2019;Arts;Jüdische Philosophie und Religion;4;2
Wintersemester;2018;2019;Arts;Kunstgeschichte;51;22
Wintersemester;2018;2019;Arts;Languages and Cultures of Southeast Asia;11;7
Wintersemester;2018;2019;Arts;Lateinamerika-Studien;47;7
Wintersemester;2018;2019;Arts;Manuskriptkulturen;14;5
Wintersemester;2018;2019;Arts;Medienwissenschaft (Media Studies);179;18
Wintersemester;2018;2019;Arts;Mittelalter-Studien;3;2
Wintersemester;2018;2019;Arts;Neogräzistik;1;1
Wintersemester;2018;2019;Arts;Osteuropastudien;30;13
Wintersemester;2018;2019;Arts;Philosophie;21;7
Wintersemester;2018;2019;Arts;Romanische Literaturen;10;9
